,Theme,Company
163,면세점,"['호텔신라', '하나투어', '신세계', '토니모리', '글로벌텍스프리']"
164,석유화학,"['SKC', 'LG화학', '태광산업', '효성화학', '동성화학', '롯데케미칼', 'SK이노베이션', '흥구석유']"
165,스마트공장,"['맥스로텍', '비엠티', '삼익THK', '스맥', '코윈테크', '링크제니시스']"
166,게임,"['위메이드', 'SNK', '플레이위드', '지어소프트', '엔씨소프트', '넥슨지티', '옴니텔', '액토즈소프트', '네오위즈', '데브시스터즈', '이에스에이', '컴투스', '한빛소프트', '조이시티', '게임빌', '바른손이앤에이', '엠게임', '와이제이엠게임즈', '골프존', '드래곤플라이', '웹젠', '조이맥스', '엔텔스']"
167,pipe,"['코센', '유에스티', '세아제강', '삼강엠앤티', '동양철관']"
168,건설기계,"['삼원테크', '프리엠스', '동일금속', '서연탑메탈', '수산중공업', '두산인프라코어', '대창단조', '디와이파워', '진성티이씨', '두산밥캣']"
169,컴퓨팅,"['인프라웨어', 'SGA솔루션즈', '엑셈', '엔텔스', '안랩', '퓨전', '젬백스링크']"
170,이동통신,"['전파기지국', '유비쿼스', '피피아이', '에이스테크', '쏠리드', '서진시스템', '이수페타시스', '이노와이어리스', '웨이브일렉트로']"
171,시스템통합,"['아이크래프트', '데이타솔루션', '정원엔시스']"
172,적층세라믹콘덴서,"['아모텍', '코스모신소재', '대주전자재료', '네온테크', '삼성전기']"
173,콘크리트,"['보광산업', '엔피케이', 'SG']"
174,삼성페이,"['이그잭스', '한국정보통신', '한솔테크닉스']"
175,웰스바이오,"['피씨엘', '랩지노믹스', '씨젠']"
176,반도체,"['텔레칩스', '고려시멘트', '삼성전자', '유니테스트', 'SK하이닉스', 'SK', '네패스', '한화시스템', 'DB하이텍', '테스', '원익IPS', '케이씨텍', '동진쎄미켐', '후성', '램테크놀러지']"
177,남북경협,"['현대로템', '도화엔지니어링', '에코마이스터', '흥구석유', '남광토건', '좋은사람들', '재영솔루텍', ‘아난티', ‘남화토건', '제이에스티나', '부산산업', '한창', '경농', '일신석재']"
178,,
179,금강산관광,['한창']
180,태양광에너지,"['윌링스', '혜인', '티씨케이', '유니테스트', 'OCI', '한화솔루션', '이건홀딩스', '아바코', '신성이엔지', '대성파인텍', '현대에너지솔루션']"
181,,
182,액화천연가스,"['엔케이', '이더블유케이', 'HSD엔진', '팬오션', '대창솔루션', '한진중공업', '대한해운', '삼강엠앤티', '비에이치아이']"
183,인터넷은행,"['엑셈', '드림시큐리티', 'NICE평가정보', 'KG모빌리언스', 'GS리테일', 'KG이니시스', '비케이탑스', '미래테크놀로지', '이글루시큐리티']"
184,주류,"['한국알콜', '하이트진로', 'MH에탄올', '풍국주정', '진로발효', '국순당', '무학', '하이트진로홀딩스', '보해양조']"
185,정보보안,"['윈스', '안랩', '이스트소프트', '시큐브', '라온시큐어', '엑셈', '이니텍', '한컴위드', '이글루시큐리티', 'SGA']"
186,바이오시밀러,"['에이프로젠제약', '한올바이오파마', '제넥신', '이수앱지스', '큐브앤컴퍼니', '한미약품', '셀트리온']"
187,보험,"['DB손해보험', '흥국화재', '한화생명', '현대해상', '한화손해보험', '동양생명', '롯데손해보험', '메리츠화재', '코리안리', '삼성생명']"
188,농업주,"['조비', '경농', 'KG케미칼', '효성오앤비', '한탑', '성보화학', '대동공업', '이지바이오', '농우바이오', '동방아그로', '아세아텍', '남해화학']"
189,LBS,"['한양디지텍', '파트론', '팅크웨어', '아이오케이', '이루온', '지어소프트', '녹원씨엔아이']"
190,태양광,"['한국테크놀로지', 'SDN', '오성첨단소재', '신성이엔지', '에스엔유', '에스에너지', 'OCI', '주성엔지니어링', '한국철강', '티씨케이', '보락']"
191,패션,"['지엔코', '신세계인터내셔날', '한섬', '신성통상', '대현', '영원무역', '메타랩스', '진도', '코데즈컴바인', '한세실업', 'LF', '인디에프', '한세엠케이', 'SG세계물산', '신원']"
192,,
193,,
194,,
195,흑사병,"['우정바이오', '이글벳', '보령제약', '삼성제약', '신풍제약', '국제약품', '웰크론', '종근당바이오', '인트론바이오']"
196,미세먼지,"['웰크론', '위닉스', '유안타증권', 'KC코트렐', '오공', '케이엠', '에스앤씨엔진그룹', '한국콜마', '명성티엔에스', '테라젠이텍스', '하츠']"
197,,
198,돼지열병,"['마니커', '하림', '정다운', '중앙백신', '마니커에프앤지', '우리손에프앤지', 'NH투자증권', '윙입푸드', '유테크', '태경산업', '하림지주', '고려시멘트', '세하', '씨티씨바이오', '팜스토리', '파루', '우진비앤지', '더블유에프엠', '코미팜', '체시스', '이글벳', '대신증권', '대한뉴팜', '진바이오텍', '대성미생물', '우성사료', '신라에스지', '대한제당', '이지바이오', '삼성전자', '제일바이오', '선진']"
199,4대강,"['코리아에스이', '이화공영', '삼호개발', '우원개발', '코엔텍', '자연과환경', '홈센타홀딩스', '웹스']"
200,,
201,DMZ,"['이화공영', '대창스틸', '자연과환경', '코아스', '삼륭물산']"
202,탄소섬유,"['모나미', '코오롱플라스틱', '대상', '신성통상', '아진산업']"
203,로저스,"['크리스탈신소재', '솔루에타', '국일제지', '엑사이엔씨', '상보']"
204,,
205,보안,"['DB', 'ITX엠투엠', '지란지교시큐리티', '뉴지랩']"
206,덱사메타손,"['신일제약', '한올바이오파마', '휴메딕스', '대원제약', '부광약품', 'JW중외제약', '신풍제약', '국제약품', '영진약품', '경동제약', '일성신약', '동구바이오제약', '대한뉴팜', '환인제약', '명문제약', '화일약품', '바이오톡스텍', '우리들휴브레인', '아이큐어', '휴마시스']"
207,남북철도,"['현대로템', '에코마이스터', '대아티아이', '부산산업', '푸른기술']"
208,클로로퀸,"['일성신약', '신풍제약', '화일약품', '비씨월드제약', '크리스탈', '텔콘RF제약', 'EDGC', '씨젠', '랩지노믹스', 'WI', '진양제약']"
